1,101,2.5
4,103,3.0
1,103,3.0
1,104,3.5
1,105,2.5
1,106,3.0
2,101,3.0
4,106,4.5
2,103,1.5
5,102,4.0
2,105,3.5
2,106,3.0
3,101,2.5
3,102,3.0
3,104,3.5
3,106,4.0
4,102,3.5
2,104,5.0
4,104,4.0
4,105,2.5
6,104,5.0
5,101,3.0
5,103,2.0
5,104,3.0
5,105,2.0
5,106,3.0
6,101,3.0
6,102,4.0
1,102,3.5
6,105,3.5
6,106,3.0
7,102,4.5
7,104,4.0
7,105,1.0
2,102,3.5
10,1,4.75
10,2,4.5
10,3,5.0
10,4,4.25
10,5,4.0
11,1,4.0
11,2,3.0
11,3,5.0
11,4,2.0
11,5,1.0
12,1,5.0
12,2,0.0
12,3,1.0
12,4,3.0
12,5,5.0
13,1,2.0
13,2,5.0
13,3,4.0
13,4,3.0
13,5,0.0
